klentory,1
Kontol,"1,2"
KotoriMinami,"1,2"
Kristopher,1
Kucha,"0,3"
lenalude,"0,1"
limboguard,"0,1"
Liverbird2002,"0,4"
lo_c0der,1
Mahi_Al_Jawad,1
makjn10,"0,1"
MARK_LI,"0,1"
Marshmalloc,1
marvelous25,"0,1,5"
mikoarm,1
mismi7298,"0,1"
Mohamed38,"0,6"
mokirin,"0,5"
Mushfiq4513,1
nandaniya_g,1
NCE,"0,1"
Nowshad,"0,1"
OECDDECCCEDHH,"0,7"
OMA,"0,1"
optimus,8
oupengfu,"0,1"
o_v_shake,1
phillotunru1,9
physicsShine,"0,1"
practiceid1,1
prakashk,"0,1"
pseudocoder10,1
QAQmika,"0,1,5"
qiaomingyu,"0,1"
qiyuqiyu,"0,1"
quangphat18ti,"0,1,10"
QuincyTan,"0,6"
Ravi_Jakhania,"0,1,5"
razvg99,"0,1,5"
RDJ.Widow,"0,1"
RedStone,"1,6"
Repeat2,"11,12"
Respect2D,int to ll
resting_prince,invalid input
risengo,int to ll
Rm6,int to ll
Rokham,int to ll
ruchit_vithani,int to ll
Seyn,int to ll
shadowoneZeroone,int to ll
shahkushal9148,int to ll
shenji,int to ll
sherifmowafy_,int to ll
sneffort,int to ll
starbis,int to ll
sunhy,int to ll
tamtam,int to ll
vcq,int to ll
vhosc,cin to getchar
Vwsrenzk_ZC,int to ll
William_Yue,int to ll
WindCry1,vector to list
wujiayi,removed unwanted header files
xish,int to ll
yorker,int to ll
Zabiyaka,int to ll
zeegomo,unordered map to map
zeus_iitg,Policy based data structures in g++
zeyady98,initialize variable
1640616850,1
1936448617,1
2018339960028,1
3agwa,1
50up,6
Aaman007,"0,1"
AARON33,1
adam750306,"0,1"
ahppiaw,"0,1"
AIRBOYONE,1
AIUSR_TMP,1
ajarihant,9
AlexMill,1
Alphatrance,0
Al_Shahriar_Tonmoy,12
ammar_Ahmed,"0,1"
apogee221,"0,1"
Araomis,"0,1"
arpit2601,1
Artichoke,12
arun001,1
badcw,1
bbuddhabhushan,1
buerjun,"0,1"
bybye123,1
cang_qiong,1
ChandlerMTR,1
chefpriyanshi,1
chenfu1234,"0,1"
chenhongta0,1
christ2go,1
cjc,"0,1"
DalaoTaiQL,"0,1"
Darek_,1
Dcastillo41,"0,1"
deepakjnv880,1
Denisstourisaf27,"0,1"
_Uchiha_,"0,1"
__meowth__,1
Dhairya_Shah,int - ll
Dx18,int - ll
DXLoc,int - ll
DXTsT,int - ll
dylanrhodes,ll - int
ecasdqina,int - ll
Emperor,float - long double
Engineer124,int - ll
Entropy___,int - ll
fish_toucher,int - ll
FiveJson,logic + int - ll
garyparrot,int - ll
GoWind,int - ll
Grafiore,int - ll
handle_taken,- wrong understanding of constarints
HappyBaken2019,int - ll
hardik8464,- wrong understanding of constarints
hm.sayem,small logic + int -ll
ilbro,small logic + int -ll
Ilya-bar,small logic + removed iso
incognito_,int - ll
InfiniteJest,logic + int - ll
Isalix,int - ll
ish_codes,small logic + int -ll
ItsNikolor,int - ll
jinli_,int - ll
kaihr,small logic + int -ll
kansal_strange,logic + vector - array
kartikstud,int - ll
KasuganoSora6,logic + int - ll
Kayoxity,- wrong understanding of constarints
KingOfQQ,int - ll
KirillBaskakov,int - ll
