,,,,,,,,,,
,,,,,,,,,,
klentory,1,,,,,,,,,
,,,,,,,,,0,Other
Kontol,"1,2",,,,,,,,1,int to ll
KotoriMinami,"1,2",,,,,,,,2,remove debug statement
Kristopher,1,,,,,,,,3,local to global
Kucha,"0,3",,,,,,,,4,long to ll
,,,,,,,,,5,signed to unsigned
,,,,,,,,,6,Added fast IO
,,,,,,,,,7,scanf to cin
,,,,,,,,,8,Decreased no. of typecasts to double
,,,,,,,,,9,Map to unordered map
,,,,,,,,,10,printf to cout
,,,,,,,,,11,cin to getchar reading
,,,,,,,,,12,cout to printf
lenalude,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
limboguard,"0,1",,,,,,,,,
Liverbird2002,"0,4",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
lo_c0der,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Mahi_Al_Jawad,1,,,,,,,,,
makjn10,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MARK_LI,"0,1",,,,,,,,,
Marshmalloc,1,,,,,,,,,
marvelous25,"0,1,5",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
mikoarm,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
mismi7298,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Mohamed38,"0,6",,,,,,,,,
,,,,,,,,,,
mokirin,"0,5",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Mushfiq4513,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
nandaniya_g,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NCE,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Nowshad,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
OECDDECCCEDHH,"0,7",,,,,,,,,
,,,,,,,,,,
OMA,"0,1",,,,,,,,,
,,,,,,,,,,
optimus,8,,,,,,,,,
oupengfu,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
o_v_shake,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
phillotunru1,9,,,,,,,,,
physicsShine,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
practiceid1,1,,,,,,,,,
prakashk,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
pseudocoder10,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
QAQmika,"0,1,5",,,,,,,,,
qiaomingyu,"0,1",,,,,,,,,
,,,,,,,,,,
qiyuqiyu,"0,1",,,,,,,,,
,,,,,,,,,,
quangphat18ti,"0,1,10",,,,,,,,,
QuincyTan,"0,6",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Ravi_Jakhania,"0,1,5",,,,,,,,,
razvg99,"0,1,5",,,,,,,,,
RDJ.Widow,"0,1",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RedStone,"1,6",,,,,,,,,
,,,,,,,,,,
Repeat2,"11,12",,,,,,,,,
