Kjy,0,,,,,,,,,
KKmonster,0,,,,,,,,,
klentory,1,,,,,,,,,
Knight13,0,,,,,,,,0,Other
Kontol,"1,2",,,,,,,,1,int to ll
KotoriMinami,"1,2",,,,,,,,2,remove debug statement
Kristopher,1,,,,,,,,3,local to global
Kucha,"0,3",,,,,,,,4,long to ll
kwebi,0,,,,,,,,5,signed to unsigned
laaaad,0,,,,,,,,6,Added fast IO
Lapokin,0,,,,,,,,7,scanf to cin
Laura_Cornei,0,,,,,,,,8,Decreased no. of typecasts to double
ldmhoang,0,,,,,,,,9,Map to unordered map
LeBronYang,0,,,,,,,,10,printf to cout
lee-jinhen,0,,,,,,,,11,cin to getchar reading
legend_slayer,0,,,,,,,,12,cout to printf
lenalude,"0,1",,,,,,,,,
LeoRiether,0,,,,,,,,,
LeVanThuc,0,,,,,,,,,
Libmm,0,,,,,,,,,
limboguard,"0,1",,,,,,,,,
Liverbird2002,"0,4",,,,,,,,,
LJB00127,0,,,,,,,,,
LJlessthanme,0,,,,,,,,,
llt123456,0,,,,,,,,,
llx1997,0,,,,,,,,,
lo_c0der,1,,,,,,,,,
LuciferAjay,0,,,,,,,,,
Lumos_Maxima,0,,,,,,,,,
lvcunhan,0,,,,,,,,,
madanmitra,0,,,,,,,,,
Mahi_Al_Jawad,1,,,,,,,,,
makjn10,"0,1",,,,,,,,,
manjpatel,0,,,,,,,,,
maras,0,,,,,,,,,
MarcoMeijer,0,,,,,,,,,
MARK_LI,"0,1",,,,,,,,,
Marshmalloc,1,,,,,,,,,
marvelous25,"0,1,5",,,,,,,,,
maximum2000,0,,,,,,,,,
maxnguyen,0,,,,,,,,,
Mechem-SEAW,0,,,,,,,,,
Megadeth,0,,,,,,,,,
mehmetaltuner,0,,,,,,,,,
mehuld,0,,,,,,,,,
miguell,0,,,,,,,,,
mikoarm,1,,,,,,,,,
Mint_Dentifrice,0,,,,,,,,,
MipLetsPlay,0,,,,,,,,,
mismi7298,"0,1",,,,,,,,,
mittal21,0,,,,,,,,,
Mizuho-Habu,0,,,,,,,,,
MJKSabit,0,,,,,,,,,
Mohamed38,"0,6",,,,,,,,,
Mohamed_Ayman,0,,,,,,,,,
mokirin,"0,5",,,,,,,,,
moniba,0,,,,,,,,,
MoonChasing,0,,,,,,,,,
mori08,0,,,,,,,,,
Mozarek,0,,,,,,,,,
Muhammad98,0,,,,,,,,,
Mushfiq4513,1,,,,,,,,,
Mxwel,0,,,,,,,,,
N.N_2004,0,,,,,,,,,
NaCN23,0,,,,,,,,,
nandaniya_g,1,,,,,,,,,
nandonathaniel,0,,,,,,,,,
NASACURRY,0,,,,,,,,,
Nasif_44th,0,,,,,,,,,
NCE,"0,1",,,,,,,,,
NDKhoa,0,,,,,,,,,
nekit2305,0,,,,,,,,,
newbie99,0,,,,,,,,,
new_,0,,,,,,,,,
nfaraday,0,,,,,,,,,
Ng123,0,,,,,,,,,
nicksj,0,,,,,,,,,
nigulasi,0,,,,,,,,,
nikita_shaposhnik,0,,,,,,,,,
nogg,0,,,,,,,,,
Noimin,0,,,,,,,,,
Noob-ita-pro,0,,,,,,,,,
Nowshad,"0,1",,,,,,,,,
ntargon,0,,,,,,,,,
NUCLEAR100,0,,,,,,,,,
OECDDECCCEDHH,"0,7",,,,,,,,,
omarshagar,0,,,,,,,,,
OMA,"0,1",,,,,,,,,
optimisticdeterminist,0,,,,,,,,,
optimus,8,,,,,,,,,
oupengfu,"0,1",,,,,,,,,
Oyroteg,0,,,,,,,,,
ozmld,0,,,,,,,,,
o_v_shake,1,,,,,,,,,
paranoid123,0,,,,,,,,,
Parmis_sadeghi,0,,,,,,,,,
Per-Fact,0,,,,,,,,,
petostr,0,,,,,,,,,
Phantom_,0,,,,,,,,,
Phemon,0,,,,,,,,,
phillotunru1,9,,,,,,,,,
physicsShine,"0,1",,,,,,,,,
Pisces0311,0,,,,,,,,,
piyushkhanna,0,,,,,,,,,
pk,0,,,,,,,,,
power12,0,,,,,,,,,
practiceid1,1,,,,,,,,,
prakashk,"0,1",,,,,,,,,
prashantnh143,0,,,,,,,,,
pratikgk45,0,,,,,,,,,
PrixFiesta,0,,,,,,,,,
pseudocoder10,1,,,,,,,,,
pulkit_287,0,,,,,,,,,
pureZer,0,,,,,,,,,
q3540555,0,,,,,,,,,
QAQmika,"0,1,5",,,,,,,,,
qiaomingyu,"0,1",,,,,,,,,
qingfeng_,0,,,,,,,,,
qiyuqiyu,"0,1",,,,,,,,,
quanghuynt14,0,,,,,,,,,
quangphat18ti,"0,1,10",,,,,,,,,
QuincyTan,"0,6",,,,,,,,,
Q_P_Q_,0,,,,,,,,,
Rabbitknight,0,,,,,,,,,
rachit901,0,,,,,,,,,
Rafi08236,0,,,,,,,,,
Rain__,0,,,,,,,,,
Raj_CF,0,,,,,,,,,
rakeshcodeit,0,,,,,,,,,
Ramprosad,0,,,,,,,,,
Ravi_Jakhania,"0,1,5",,,,,,,,,
razvg99,"0,1,5",,,,,,,,,
RDJ.Widow,"0,1",,,,,,,,,
Rdpaula,0,,,,,,,,,
reaperdarkshadow,0,,,,,,,,,
RedStone,"1,6",,,,,,,,,
Repeat1,0,,,,,,,,,
Repeat2,"11,12",,,,,,,,,
Repeat3,0,,,,,,,,,
Repeat4,0,,,,,,,,,
Repeat5,0,,,,,,,,,
Repeat6,0,,,,,,,,,
rerhesz,0,,,,,,,,,
